Ten_Truyen,Tac_Gia,The_Loai,Tinh_Trang,Luot_Xem,Luot_Sao,Luot_Binh_Luan,Luot_Cam_On,Link
Không trung cô đảo [ mạt thế ],Hôi Cốc,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Mạt thế , Làm ruộng , Xây dựng , Trọng sinh , Thăng cấp lưu , Chủ thụ",Hoàn thành,167461,4265,92,,https://wikicv.net/truyen/khong-trung-co-dao-mat-the-ZsFTqFS4CGkGf0YK
Pháo hôi tay xé vai chính quang hoàn [ xuyên nhanh ],Dương Liễu Thùy Đê,"Nguyên sang , Đam mỹ , Cổ đại , Hiện đại , Tương lai , HE , Tình cảm , Mạt thế , Báo thù , Tu chân , Hệ thống , Xuyên nhanh , Xuyên thư , Hào môn thế gia , ABO , Giới giải trí , Chủ thụ , Pháo hôi , Ngược tra , Vả mặt , 1v1 , Nam phụ , Thật giả thiếu gia",Hoàn thành,573947,4263,173,,https://wikicv.net/truyen/phao-hoi-tay-xe-vai-chinh-quang-hoan-xuy-X_kz_VS4CESZHN24
Toàn thế giới đều cho rằng ta ở khoe giàu,Đình Băng,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Hệ thống , Chủ thụ , Sảng văn , Vả mặt",Hoàn thành,149495,4259,43,,https://wikicv.net/truyen/toan-the-gioi-deu-cho-rang-ta-o-khoe-gia-Y%7ES2G1S4CGWyQao2
Hào môn uông hằng ngày,Nam Thư,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Huyền huyễn , Ngọt văn , Trọng sinh , Hào môn thế gia , Giới giải trí , Chủ thụ , Sảng văn , Nhẹ nhàng , Nhiều CP , Hài hước , Đô thị tình duyên , Bình bộ thanh vân , Ấm áp , Kim bài đề cử 🥇 , Kim Bảng 🏆 , 1v1 , Main là động vật",Hoàn thành,252610,4256,119,,https://wikicv.net/truyen/hao-mon-uong-hang-ngay-Wgwfs%7E8h7AyMMOsy
Mã QR năng lượng cao,Thanh Sắc Vũ Dực,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Chủ công , Vô hạn lưu",Hoàn thành,216020,4256,237,,https://wikicv.net/truyen/ma-qr-nang-luong-cao-XIjN01S4CC6_tJLc
Cá mặn xuyên thư sau phát hiện cả nhà đều là vai ác,Trĩ Đường,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Ngọt văn , Xuyên thư , Tinh tế , Gương vỡ lại lành , Chủ thụ , Kim bài đề cử 🥇 , Kim Bảng 🏆 , 1v1 , Dưỡng oa",Hoàn thành,613505,4253,277,,https://wikicv.net/truyen/ca-man-xuyen-thu-sau-phat-hien-ca-nha-de-YxCEWVS4CAhzDHIj
Sinh nhãi con trong trò chơi thần quái,Lộ Quy Đồ,"Nguyên sang , Đam mỹ , Cận đại , Hiện đại , HE , Tình cảm , Kinh dị , Xuyên việt , Ngọt văn , Sinh con , Cường cường , Vô hạn lưu , Chủ thụ , Cải trang giả dạng , Linh dị thần quái , 1v1",Hoàn thành,240705,4248,165,,https://wikicv.net/truyen/sinh-nhai-con-trong-tro-choi-than-quai-Xd8tjVS4CGqUkKg5
Này chỉ ấu tể quá mức đáng yêu,La Bặc Hải,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Ngọt văn , Song khiết 🕊️ , Sinh con , Tinh tế , Hào môn thế gia , ABO , Cường cường , Thanh mai trúc mã , Niên thượng , Chủ thụ , Sảng văn , Nhẹ nhàng , Nhiều CP , Hài hước , Cận thủy lâu đài , Ấm áp , 1v1 , Manh bảo , Đoàn sủng , Mỹ công",Hoàn thành,377000,4248,80,,https://wikicv.net/truyen/nay-chi-au-te-qua-muc-dang-yeu-ZEvqiFS4CGrgiJsn
Đồ cổ xuống núi,Duyên Hà Cố,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Huyền học , Thần tiên yêu quái , Song khiết 🕊️ , Phong thủy , Làm giàu , Thần thoại , Chủ thụ , Sảng văn , Kim bài đề cử 🥇 , Kim Bảng 🏆 , Linh dị thần quái , 1v1",Hoàn thành,384305,4241,306,,https://wikicv.net/truyen/do-co-xuong-nui-W7gyeVS4CFPjyG6s
Tô biến Tu Chân giới / Tiếu sơ cuồng [ tu tiên ],Mộ Hàn Công Tử,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Tiên hiệp , Tu chân , Song khiết 🕊️ , Cường cường , Thanh mai trúc mã , Thăng cấp lưu , Chủ thụ , Sảng văn , Nhiều CP , Hài hước , Thiên chi kiêu tử , Ấm áp , Kim bài đề cử 🥇 , 1v1",Hoàn thành,132328,4240,53,,https://wikicv.net/truyen/to-bien-tu-chan-gioi-tieu-so-cuong-tu-ti-Wc_7OO8h7BpiOXf8
Đỉnh cấp công lược [ xuyên thư ],Tiêu Đường Đông Qua,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Xuyên việt , Hệ thống , Xuyên thư , ABO , Cường cường , Chủ thụ , Nhẹ nhàng , Kim bài đề cử 🥇 , 1v1",Hoàn thành,140717,4227,265,,https://wikicv.net/truyen/dinh-cap-cong-luoc-xuyen-thu-ZLJZN1S4CEnUO%7Ebh
Mang theo hoàng đế cha thượng oa tổng,Nam Đào,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Cổ xuyên kim , Hào môn thế gia , Giới giải trí , Chủ thụ , Sảng văn , Kim bài đề cử 🥇 , Kim Bảng 🏆 , Vả mặt , 1v1 , Song xuyên , Xuyên về thế giới cũ",Hoàn thành,205629,4225,98,,https://wikicv.net/truyen/mang-theo-hoang-de-cha-thuong-oa-tong-YylXOFS4CGkwNvSK
Ta ở tinh tế thần thoại sống lại / Ta dựa áo choàng trở thành chúa cứu thế [tinh tế],Bỉnh Yên,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Huyền huyễn , Xuyên việt , Hệ thống , Tinh tế , Cơ giáp , Chủ thụ , Sảng văn , Linh dị thần quái , Nghịch tập , Thị giác nam chủ , Trùng tộc , Áo choàng lưu",Hoàn thành,201664,4222,58,,https://wikicv.net/truyen/ta-o-tinh-te-than-thoai-song-lai-ta-dua--Y8S6IFS4CEHLEeQJ
Thiên tai mạt thế hành,Nam Thư,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Mạt thế , Làm ruộng , Ngọt văn , Trọng sinh , Chủ thụ , Kim Bảng 🏆 , 1v1",Hoàn thành,387258,4219,151,,https://wikicv.net/truyen/thien-tai-mat-the-hanh-YHySN1S4CH_4QsaL
Pháo hôi công tam thành vạn nhân mê [ xuyên nhanh ],Ám Hương Phiêu Phù,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Ngọt văn , Hệ thống , Xuyên nhanh , Xuyên thư , Chủ thụ , Pháo hôi , 1v1 , Vạn nhân mê",Chưa xác minh,277275,4218,148,,https://wikicv.net/truyen/phao-hoi-cong-tam-thanh-van-nhan-me-xuye-Yz6kxVS4CAsXFvWT
Mục tiêu là gả cho hào môn Alpha,Thường Hoa Nhất Tiếu,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Xuyên việt , Hệ thống , Cơ giáp , ABO , Chủ thụ , Kim Bảng 🏆 , 1v1 , Vạn nhân mê , Sa điêu , Mỹ thụ",Hoàn thành,119545,4211,61,,https://wikicv.net/truyen/muc-tieu-la-ga-cho-hao-mon-alpha-ZzS5S1S4CHDvxMzL
Giả vai chính thật ma vương [ Tổng ],Duy Mạc Đăng Hỏa,"Diễn sinh , Đam mỹ , Cận đại , Hiện đại , HE , Tình cảm , Manga anime , Huyền huyễn , Xuyên việt , Dị năng , Ngọt văn , Song khiết 🕊️ , Hắc bang , Cường cường , Chủ thụ , Sảng văn , Hài hước , Hitman Reborn , Thiên chi kiêu tử , Siêu anh hùng , Hoàng tử Tennis , Duyên trời tác hợp , Linh dị thần quái , 1v1 , Bungo Stray Dogs , K Project , My Hero Academia",Hoàn thành,206935,4207,166,,https://wikicv.net/truyen/gia-vai-chinh-that-ma-vuong-tong-XMexsFS4CBcNn6Gl
Mất trí nhớ sau ta thành Zenin ánh sáng,Xuy Đồng Vô Lương,"Diễn sinh , Đam mỹ , Hiện đại , HE , Tình cảm , Manga anime , Huyền huyễn , Xuyên việt , Thần tiên yêu quái , Hào môn thế gia , Cường cường , Chủ thụ , Nhẹ nhàng , Hài hước , Thiên chi kiêu tử , Kim bài đề cử 🥇 , Kim Bảng 🏆 , Linh dị thần quái , Triệu hoán lưu , Kimetsu no Yaiba , Jujutsu Kaisen , Qua lại thời không",Tạm ngưng,113719,4204,135,,https://wikicv.net/truyen/mat-tri-nho-sau-ta-thanh-zenin-anh-sang-YNJx6VS4CHbqGjAG
Thủ phụ gia mạo mỹ tiểu phu lang,Thỏ Nguyệt Quan,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Làm ruộng , Quan trường , Xuyên thư , Sinh con , Chủ công , Nam nam thế giới , Kim bài đề cử 🥇 , 1v1",Hoàn thành,329638,4200,132,,https://wikicv.net/truyen/thu-phu-gia-mao-my-tieu-phu-lang-ZS3ou1S4CHduUFgq
Tra bốn cái tra công sau ta trốn chạy,Miêu Bát Tiên Sinh,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Võ hiệp , Dị năng , Ngọt văn , Trọng sinh , Hệ thống , Xuyên thư , Cường cường , Thanh mai trúc mã , Hoan hỉ oan gia , Thăng cấp lưu , Song hướng yêu thầm , Chủ thụ , Sảng văn , Nhẹ nhàng , Hài hước , Trò chơi , Thiên chi kiêu tử , Cận thủy lâu đài , Pháo hôi , Duyên trời tác hợp , Ngược tra , Tương ái tương sát , Nghịch tập , Vả mặt , 1v1 , Bạch nguyệt quang",Hoàn thành,206950,4198,139,,https://wikicv.net/truyen/tra-bon-cai-tra-cong-sau-ta-tron-chay-Xv41bVS4CEfIfZL6
Nam chủ cùng vai ác đều là ta nhãi con [ xuyên thư ],Yên Liễu Nhược Vân,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Tiên hiệp , Huyền huyễn , Tu chân , Hệ thống , Xuyên thư , Sinh con , Ngược văn , Chủ thụ , Sảng văn , Nhẹ nhàng , Tam giáo cửu lưu , Kim bài đề cử 🥇 , Kim Bảng 🏆 , 1v1",Hoàn thành,811178,4195,292,,https://wikicv.net/truyen/nam-chu-cung-vai-ac-deu-la-ta-nhai-con-x-XVYUgVS4CDbSjQt5
Người ở rể văn nam chủ đối ta xuống tay,Đào Lý Sanh Ca,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Ngọt văn , Trọng sinh , Niên hạ , Xuyên thư , Hào môn thế gia , Chủ thụ , Kim bài đề cử 🥇 , 1v1",Hoàn thành,242758,4195,236,,https://wikicv.net/truyen/nguoi-o-re-van-nam-chu-doi-ta-xuong-tay-Yz6kaFS4CAsXFvWP
Nhà ta idol áo choàng lại rớt,Mặc Ngôn Mộc,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Ngọt văn , Giới giải trí , Cường cường , Chủ thụ , Sảng văn , Nhẹ nhàng , Hài hước , Thiên chi kiêu tử , Duyên trời tác hợp , Vả mặt , 1v1 , Xuyên về thế giới cũ",Hoàn thành,451974,4193,98,,https://wikicv.net/truyen/nha-ta-idol-ao-choang-lai-rot-XglmVVS4CGU5EmjS
Tổng Anh Mỹ: Thỉnh các vị tuân kỷ thủ pháp / Tổng Anh Mỹ: Batfamily Ghost Rider,Hàm Ngư Mỗi Thiên Đô Tại Mạc Ngư,"Diễn sinh , Đam mỹ , Hiện đại , HE , Tình cảm , Harry Potter , Cường cường , Siêu anh hùng , Phương Tây , Phim Anh Mỹ , 1v1 , Fate , Marvel , Sherlock Holmes , Qua lại thời không , DC",Hoàn thành,42697,4192,58,,https://wikicv.net/truyen/tong-anh-my-thinh-cac-vi-tuan-ky-thu-pha-aLo6hvTaEHk%7EFQxt
Ở vô hạn thế giới đương BOSS lão sư,La Bặc Hải,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Vô hạn lưu , Chủ thụ , Sảng văn , Kim Bảng 🏆 , 1v1 , Đoàn sủng , Vạn nhân mê",Hoàn thành,152569,4191,94,,https://wikicv.net/truyen/o-vo-han-the-gioi-duong-boss-lao-su-Zpxk%7E1S4CDtsRVKy
Xuyên việt chi bưu hãn nhân sinh,Bắc Phong Xuy,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Làm ruộng , Huyền huyễn , Xuyên việt , Dị năng , Chủ thụ , Sảng văn , Ngược tra , Vả mặt , 1v1",Hoàn thành,468669,4188,69,,https://wikicv.net/truyen/xuyen-viet-chi-buu-han-nhan-sinh-W7sy9FS4CH0gYi4D
Pháo hôi N hào [ xuyên nhanh ],Di Thiên Lí,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Xuyên việt , Xuyên nhanh , Xuyên thư , Chủ thụ , 1v1",Hoàn thành,223542,4188,93,,https://wikicv.net/truyen/phao-hoi-n-hao-xuyen-nhanh-XtB1tFS4CFU81XVK
[ Tổng ] Tẩm nhập thức kịch bản thể nghiệm đại sư,Cật Đường Liễu Mạ,"Diễn sinh , Đam mỹ , Cận đại , Hiện đại , HE , Tình cảm , Manga anime , Huyền huyễn , Xuyên việt , Dị năng , Thần tiên yêu quái , Xuyên thư , Sảng văn , Hài hước , Thiên chi kiêu tử , Kim bài đề cử 🥇 , Linh dị thần quái , Bungo Stray Dogs , Kuroko no basket , Jujutsu Kaisen , Viết văn , Hắc thủ lưu , Qua lại thời không , Áo choàng lưu",Hoàn thành,119228,4188,220,,https://wikicv.net/truyen/tong-tam-nhap-thuc-kich-ban-the-nghiem-d-YMPQdFS4CDIiP8Ec
[Tổng Anh Mỹ] Bọn Họ Đều Nói Chúng Ta Ở Bên Nhau Là Lãng Phí Nhân Thiết,Ailsana,"Diễn sinh , Đam mỹ , Hiện đại , HE , Tình cảm , Manga anime , Xuyên việt , Ma pháp , Chủ công , Hắc bang , Cường cường , Siêu anh hùng , Phương Tây , Phim Anh Mỹ , 1v1 , Fate , Marvel , DC , Bình tĩnh",Chưa xác minh,69129,4184,287,,https://wikicv.net/truyen/tong-anh-my-bon-ho-deu-noi-chung-ta-o-be-Xq9eqFS4CG7%7EgBo8
Vongola bút ký,Quá Tử Lăng,"Diễn sinh , Đam mỹ , Hiện đại , HE , Manga anime , Khoa học viễn tưởng , Dị thế , Dị năng , Ngọt văn , Sinh con , Thanh mai trúc mã , Vô hạn lưu , Chủ thụ , Nhẹ nhàng , Hitman Reborn , Cải trang giả dạng , Hunter x Hunter , Hoàng tử Tennis , Duyên trời tác hợp , Ngân bài đề cử 🥈 , Thế giới song song , 1v1 , Conan , Chậm nhiệt , Qua lại thời không , Xem ảnh thể",Còn tiếp,90781,4183,27,,https://wikicv.net/truyen/vongola-but-ky-ZKSXcTzLcg3vJvV3
Xuyên tiến vai ác trong nhà đương đoàn sủng,Phong Mật Mạch Phiến,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Ngọt văn , Hệ thống , Hào môn thế gia , Chủ thụ , Ấm áp , Mỹ nhân ngư , Xuyên thành vai ác , 1v1 , Manh bảo , Manh sủng , Đoàn sủng",Chưa xác minh,203235,4182,128,,https://wikicv.net/truyen/xuyen-tien-vai-ac-trong-nha-duong-doan-s-YnPDJFS4CCzgRf8_
Cầu sinh đếm ngược,Mộc Hề Nương,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Quan trường , Xuyên việt , Ngọt văn , Xuyên thư , Phá án , Cung đấu , Cường cường , Chủ thụ , Cung đình hầu tước , Thiên chi kiêu tử , Duyên trời tác hợp , Xuyên thành vai ác , Kim bài đề cử 🥇 , 1v1 , Thật giả thiếu gia , Chức nghiệp tinh anh",Hoàn thành,358465,4181,377,,https://wikicv.net/truyen/cau-sinh-dem-nguoc-Yq%7Eeb1S4CDMt3k_R
Vô hạn lưu người chơi về hưu về sau,Tang Ốc,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Ngọt văn , Cường cường , Vô hạn lưu , Chủ thụ , Sảng văn , Kim bài đề cử 🥇 , 1v1",Hoàn thành,199202,4180,139,,https://wikicv.net/truyen/vo-han-luu-nguoi-choi-ve-huu-ve-sau-X49s_lS4CGCueM4o
Vạn nhân mê cầm pháo hôi kịch bản sau [ xuyên nhanh ],Chẩm Tịch Yểu Yểu,"Nguyên sang , Đam mỹ , Cổ đại , Hiện đại , Tương lai , OE , Tình cảm , Xuyên việt , Ngọt văn , Xuyên nhanh , Chủ thụ , Đoàn sủng , Vạn nhân mê",Hoàn thành,255236,4172,312,,https://wikicv.net/truyen/van-nhan-me-cam-phao-hoi-kich-ban-sau-xu-YLQ83lS4CBNXrVUR
Nam chủ lại lại lại lại đã chết [ xuyên nhanh ],Thính Thuyết Ngã Thị Hắc Sơn Lão Yêu,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Báo thù , Song khiết 🕊️ , Xuyên nhanh , Xuyên thư , Cường cường , Chủ thụ , Sảng văn , Nhẹ nhàng , Pháo hôi , Nghịch tập , Vả mặt , 1v1",Hoàn thành,281005,4171,344,,https://wikicv.net/truyen/nam-chu-lai-lai-lai-lai-da-chet-xuyen-nh-XafYyFS4CAlZZfLL
"Không xong, ngủ quên rồi!",Du Du Tiên,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Ngọt văn , Niên hạ , Tinh tế , Chủ thụ , Kim bài đề cử 🥇 , 1v1",Hoàn thành,442823,4163,99,,https://wikicv.net/truyen/khong-xong-ngu-quen-roi-WuVORju2629dSPAR
Hắc liên hoa bị bắt vạn nhân mê [ xuyên nhanh ],Tinh Kỳ Thập,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Ngọt văn , Xuyên nhanh , Chủ thụ , Nhược thụ , Vạn nhân mê , Liếm cẩu , Chiếm hữu dục , Mỹ thụ , Tu la tràng",Hoàn thành,253520,4159,156,,https://wikicv.net/truyen/hac-lien-hoa-bi-bat-van-nhan-me-xuyen-nh-Zb7PuVS4CCmSStDP
Nguyên liệu nấu ăn của ta trải rộng Tu Chân giới,Lão Đại Bạch Miêu,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Tiên hiệp , Làm ruộng , Tu chân , Xuyên việt , Mỹ thực , Chủ thụ , Sảng văn , Kim bài đề cử 🥇 , 1v1",Hoàn thành,486381,4156,89,,https://wikicv.net/truyen/nguyen-lieu-nau-an-cua-ta-trai-rong-tu-c-X0kqxVS4CCk3CZ1f
Vương phi hắn phú khả địch quốc,Cách Bích Đích Gia Phỉ Miêu,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Xây dựng , Xuyên việt , Ngọt văn , Chủ thụ , Sảng văn , Kim bài đề cử 🥇",Hoàn thành,249243,4151,67,,https://wikicv.net/truyen/vuong-phi-han-phu-kha-dich-quoc-YCm8k1S4CFxIeDAm
Giả ngu cùng mắt manh vai ác liên hôn sau [ xuyên thư ],Niệm Tứ,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Ngọt văn , Song khiết 🕊️ , Xuyên thư , Hào môn thế gia , Cường cường , Chủ thụ , Nhẹ nhàng , Ấm áp , Pháo hôi , Vả mặt , 1v1 , Giả heo ăn hổ",Hoàn thành,363784,4131,143,,https://wikicv.net/truyen/gia-ngu-cung-mat-manh-vai-ac-lien-hon-sa-YupBGlS4CH07uzFx
Dân quốc văn hào,Quyết Tuyệt,"Nguyên sang , Đam mỹ , Cận đại , HE , Tình cảm , Xuyên việt , Làm giàu , Chủ công , Dân quốc , Sảng văn , Ấm áp , Kim bài đề cử 🥇 , Kim Bảng 🏆 , Thế giới song song , Nghịch tập",Hoàn thành,274539,4128,216,,https://wikicv.net/truyen/dan-quoc-van-hao-W8W8VEbIjic7tx62
Tinh tế ngốc manh tiểu phu lang,Cứu Vĩ Yêu Hồ,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Làm ruộng , Xuyên việt , Ngọt văn , Hệ thống , Song khiết 🕊️ , Sinh con , Mỹ thực , Tinh tế , Cơ giáp , Niên thượng , Chủ thụ , Sảng văn , Phát sóng trực tiếp , Cổ đại xuyên tươg lai , Cận thủy lâu đài , Ấm áp , Tiểu bạch văn , Liên Thành 3 sao , Nhược thụ , Vả mặt , 1v1",Hoàn thành,1331199,4127,138,,https://wikicv.net/truyen/tinh-te-ngoc-manh-tieu-phu-lang-Wkdupu8h7DO1JHmu
Gả cho hào môn đại Boss,Thừa Việt,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Ngọt văn , Chủ thụ , Đô thị tình duyên , Cận thủy lâu đài , Kim bài đề cử 🥇 , 1v1",Hoàn thành,178468,4127,90,,https://wikicv.net/truyen/ga-cho-hao-mon-dai-boss-Y2fculS4CDaQpFl4
Vai ác nhân thiết rất khó không băng a,Vân Phi Tà,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Tiên hiệp , Tu chân , Ngọt văn , Hệ thống , Song khiết 🕊️ , Xuyên thư , Chủ thụ , Xuyên thành vai ác , 1v1 , Chậm nhiệt , Chữa lành",Hoàn thành,252036,4121,410,,https://wikicv.net/truyen/vai-ac-nhan-thiet-rat-kho-khong-bang-a-ZB2Ik1S4CAyb06uK
Xuyên thành Đại Tần bạo quân “Phò mã”,Thanh Điểu Lâm Tinh,"Diễn sinh , Đam mỹ , Cổ đại , HE , Tình cảm , Xây dựng , Xuyên thư , Lịch sử , Chủ thụ , Sảng văn , Nhẹ nhàng , Kim bài đề cử 🥇",Hoàn thành,78769,4120,21,,https://wikicv.net/truyen/xuyen-thanh-dai-tan-bao-quan-pho-ma-ZFkcg_TaEDNBoP6l
Cùng tinh tế nhân dân cùng nhau làm ruộng,Miêu Miên Nhi,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Làm ruộng , Xây dựng , Xuyên việt , Tinh tế , Chủ thụ , Nhẹ nhàng , Kim bài đề cử 🥇 , Thực tế ảo , Manh sủng",Hoàn thành,235840,4117,77,,https://wikicv.net/truyen/cung-tinh-te-nhan-dan-cung-nhau-lam-ruon-YFztDlS4CCYOURRV
Đem bốn cái cự lão viết tiến đam mỹ văn sau,Nguyệt Ly Tranh,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Huyền huyễn , Xuyên việt , Ngọt văn , Song khiết 🕊️ , Tinh tế , Chủ thụ , Sảng văn , Nhẹ nhàng , Kim bài đề cử 🥇 , 1v1 , Viết văn",Hoàn thành,151475,4116,207,,https://wikicv.net/truyen/dem-bon-cai-cu-lao-viet-tien-dam-my-van--Xd8tvFS4CGqUkKhC
Trấn phái tiểu hồ ly [ tu chân ],Dữu Vu Tử Duyệt,"Nguyên sang , Đam mỹ , Cổ đại , HE , Tình cảm , Tiên hiệp , Huyền huyễn , Tu chân , Xuyên việt , Ngọt văn , 1v1 , Main là động vật , Manh sủng",Hoàn thành,183749,4115,51,,https://wikicv.net/truyen/tran-phai-tieu-ho-ly-tu-chan-YJ8PvlS4CHmMGb%7EY
Họa Phố,Tinh Nguyệt,"Nguyên sang , Đam mỹ , Cận đại , Hiện đại , HE , Tình cảm , Huyền huyễn , Ngọt văn , Vô hạn lưu , Chủ thụ , Sảng văn , Nhẹ nhàng , Kim Bảng 🏆 , Linh dị thần quái",Hoàn thành,194187,4105,234,,https://wikicv.net/truyen/hoa-pho-XWtlVFS4CA0mWCqF
"Xuyên thành đỉnh cấp lưu lượng sau, nam chính và vai ác thành fanboy của ta",Dịch Diệp Tử,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Xuyên việt , Ngọt văn , Trọng sinh , Hệ thống , Song khiết 🕊️ , Xuyên thư , Giới giải trí , Cường cường , Chủ thụ , Nhẹ nhàng , Đô thị tình duyên , Pháo hôi , Mỹ nhân ngư , 1v1",Hoàn thành,327869,4103,193,,https://wikicv.net/truyen/xuyen-thanh-dinh-cap-luu-luong-sau-nam-c-XO4UT1S4CCj2PJ%7EI
Kỳ lạ trùng đực nhãi con,Tích Tuyết Hạ Đích Hắc Miêu,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Khoa học viễn tưởng , Dị năng , Ngọt văn , Tinh tế , Chủ công , Cường cường , Sảng văn , Nhẹ nhàng , 1v1 , Thị giác nam chủ , Trùng tộc",Hoàn thành,269193,4103,201,,https://wikicv.net/truyen/ky-la-trung-duc-nhai-con-YkZfulS4CDXsw4Bo
【 Mau xuyên 】 Tiểu thiếu gia dựa mỹ mạo hoành hành toàn hệ thống,Toàn Cơ Phu Nhân,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Xuyên việt , Hệ thống , Xuyên nhanh , Chủ thụ , 1v1",Hoàn thành,471924,4100,56,,https://wikicv.net/truyen/mau-xuyen-tieu-thieu-gia-dua-my-mao-hoan-Yfjm7VS4CGSLn13R
Ngươi đóng máy rồi / Vai ác Boss bị ta tra đến hoài nghi nhân sinh [ Xuyên nhanh ],Lạc Thập Ý,"Nguyên sang , Đam mỹ , Cận đại , Hiện đại , HE , OE , Tình cảm , Xuyên nhanh , Cường cường , Chủ thụ , Nhẹ nhàng , Kim bài đề cử 🥇",Hoàn thành,151150,4097,291,,https://wikicv.net/truyen/nguoi-dong-may-roi-vai-ac-boss-bi-ta-tra-XtWjyVS4CF5LWf7E
Vai ác ái thịnh thế mỹ nhan ta đều có,Âm Oa,"Nguyên sang , Đam mỹ , Cổ đại , Tương lai , OE , Tình cảm , Xuyên việt , Xuyên nhanh , Chủ thụ , Kim Bảng 🏆 , Mary Sue",Hoàn thành,150961,4093,110,,https://wikicv.net/truyen/vai-ac-ai-thinh-the-my-nhan-ta-deu-co-WowSru8h7C4kyMLr
Dây đằng Boss hôm nay cũng ở ngụy trang nhân loại,Bạch Nhứ Trầm,"Nguyên sang , Đam mỹ , Tương lai , HE , Tình cảm , Xuyên việt , Hệ thống , Chủ công , Cường cường , Nhẹ nhàng , Duyên trời tác hợp , Kim bài đề cử 🥇 , 1v1",Hoàn thành,126560,4090,116,,https://wikicv.net/truyen/day-dang-boss-hom-nay-cung-o-nguy-trang--ZNRjrVS4CA1qQblT
Vô pháp đánh dấu / Đánh dấu thành nghiện / Nghe nói ngươi chỉ đem ta đương bằng hữu,Kỵ Trứ Tảo Trửu Khứ Hỏa Tinh,"Nguyên sang , Đam mỹ , Hiện đại , HE , Tình cảm , Ngọt văn , ABO , Vườn trường , Chủ thụ , Kim bài đề cử 🥇 , 1v1",Hoàn thành,209169,4088,254,,https://wikicv.net/truyen/vo-phap-danh-dau-danh-dau-thanh-nghien-n-X8Qvo1S4CFHxx27a
[ Tổng ] Đem vai chính sinh ra đi!,Cô Độc Đích Bình Tử,"Diễn sinh , Đam mỹ , Cổ đại , Hiện đại , HE , Tình cảm , Võ hiệp , Manga anime , Hệ thống , Sinh con , Song tính , Naruto , Chủ thụ , Hunter x Hunter , Hoàng tử Tennis , 1v1 , Đấu La đại lục , Conan , Bleach , CC Sakura",Hoàn thành,610990,4077,245,,https://wikicv.net/truyen/tong-dem-vai-chinh-sinh-ra-di-WNlAC%7E8h7DsVhmz%7E
